model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Gardner_press_conferences_wordcount__4c_all_topics_ev2.5,118,0.9809,0.9791,104.64,135.12,732.3264,0.0,0.531228,,,4c_all_topics,2.5
Gardner_press_conferences_wordcount__4d_topic_pca_ev2.5,118,0.9788,0.9771,114.85,142.56,736.7259,0.0,0.594944,,,4d,2.5
Gardner_press_conferences_wordcount__4e_total_interactions_ev2.5,118,0.9858,0.9843,71.84,105.09,875.7941,0.0,0.329568,,,4e_total_interactions,2.5
Gardner_press_conferences_wordcount__4f_matched_interactions_ev2.5,118,0.9758,0.9735,132.56,163.04,571.944,0.0,0.475134,,,4f_matched_interactions,2.5
Gardner_press_conferences_wordcount__4g_novelty_ev2.5,117,0.9717,0.969,150.34,180.73,588.1767,0.0,0.52004,,,4g_novelty,2.5
Gardner_press_conferences_wordcount__4a_total_sent_ev3.0,118,0.9756,0.9743,125.36,144.75,956.7524,0.0,0.485921,,,4a_total_sent,3.0
Gardner_press_conferences_wordcount__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,3.0
Gardner_press_conferences_wordcount__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,3.0
Gardner_press_conferences_wordcount__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,3.0
Gardner_press_conferences_wordcount__4b_consensus_ev3.0,118,0.9806,0.9788,106.28,136.76,1035.9809,0.0,0.229848,,,4b_consensus,3.0
Gardner_press_conferences_wordcount__4b_consensus_matched_interactions_ev3.0,118,0.9784,0.9764,119.15,149.63,707.7921,0.0,0.487408,,,4b_consensus_matched_interactions,3.0
Gardner_press_conferences_wordcount__4c_all_topics_ev3.0,118,0.9809,0.9791,104.64,135.12,732.2842,0.0,0.531228,,,4c_all_topics,3.0
Gardner_press_conferences_wordcount__4d_topic_pca_ev3.0,118,0.9788,0.9771,114.85,142.56,736.7259,0.0,0.594944,,,4d,3.0
Gardner_press_conferences_wordcount__4e_total_interactions_ev3.0,118,0.9858,0.9843,71.84,105.09,875.7944,0.0,0.329568,,,4e_total_interactions,3.0
Gardner_press_conferences_wordcount__4f_matched_interactions_ev3.0,118,0.9758,0.9735,132.56,163.04,571.9418,0.0,0.475134,,,4f_matched_interactions,3.0
Gardner_press_conferences_wordcount__4g_novelty_ev3.0,117,0.9717,0.969,150.34,180.73,588.1767,0.0,0.52004,,,4g_novelty,3.0
