model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Gardner_speeches_zscore__4b_consensus_matched_interactions_ev2.5,151,0.9742,0.9724,166.99,200.18,621.9602,0.0,0.431789,2.1996,0.0139,4b_consensus_matched_interactions,2.5
Gardner_speeches_zscore__4c_all_topics_ev2.5,151,0.9746,0.9728,165.0,198.19,778.1439,0.0,0.539355,0.825,,4c_all_topics,2.5
Gardner_speeches_zscore__4d_topic_pca_ev2.5,151,0.975,0.9734,160.36,190.53,1095.0791,0.0,0.404335,3.5933,0.0002,4d,2.5
Gardner_speeches_zscore__4e_total_interactions_ev2.5,151,0.9736,0.9715,172.6,208.8,988.4813,0.0,0.477963,2.9212,0.0017,4e_total_interactions,2.5
Gardner_speeches_zscore__4f_matched_interactions_ev2.5,151,0.9742,0.9724,167.15,200.34,796.0744,0.0,0.474137,2.1096,0.0174,4f_matched_interactions,2.5
Gardner_speeches_zscore__4g_novelty_ev2.5,150,0.9681,0.9655,198.05,234.18,538.6604,0.0,0.535634,1.7736,0.0381,4g_novelty,2.5
Gardner_speeches_zscore__4a_total_sent_ev3.0,151,0.968,0.9667,191.54,212.66,1163.4857,0.0,0.550317,-1.1876,,4a_total_sent,3.0
Gardner_speeches_zscore__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,3.0
Gardner_speeches_zscore__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,3.0
Gardner_speeches_zscore__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,3.0
Gardner_speeches_zscore__4b_consensus_ev3.0,151,0.9726,0.9706,176.3,209.49,736.6588,0.0,0.504063,1.509,0.0656,4b_consensus,3.0
Gardner_speeches_zscore__4b_consensus_matched_interactions_ev3.0,151,0.9742,0.9724,166.99,200.18,621.9602,0.0,0.431789,2.1996,0.0139,4b_consensus_matched_interactions,3.0
Gardner_speeches_zscore__4c_all_topics_ev3.0,151,0.9746,0.9728,165.0,198.19,778.1439,0.0,0.539355,0.825,,4c_all_topics,3.0
Gardner_speeches_zscore__4d_topic_pca_ev3.0,151,0.975,0.9734,160.36,190.53,1095.0791,0.0,0.404335,3.5933,0.0002,4d,3.0
Gardner_speeches_zscore__4e_total_interactions_ev3.0,151,0.9736,0.9715,172.6,208.8,988.4813,0.0,0.477963,2.9212,0.0017,4e_total_interactions,3.0
Gardner_speeches_zscore__4f_matched_interactions_ev3.0,151,0.9742,0.9724,167.15,200.34,796.0744,0.0,0.474137,2.1096,0.0174,4f_matched_interactions,3.0
Gardner_speeches_zscore__4g_novelty_ev3.0,150,0.9681,0.9655,198.05,234.18,538.6604,0.0,0.535634,1.7736,0.0381,4g_novelty,3.0
