model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Gardner_press_conferences_zscore__4c_all_topics_ev2.5,118,0.9808,0.979,105.22,135.69,890.1572,0.0,0.523231,,,4c_all_topics,2.5
Gardner_press_conferences_zscore__4d_topic_pca_ev2.5,118,0.9787,0.9769,115.77,143.48,864.2032,0.0,0.610655,,,4d,2.5
Gardner_press_conferences_zscore__4e_total_interactions_ev2.5,118,0.9887,0.9875,44.62,77.87,1205.0617,0.0,0.285837,,,4e_total_interactions,2.5
Gardner_press_conferences_zscore__4f_matched_interactions_ev2.5,118,0.9832,0.9817,89.32,119.8,860.223,0.0,0.245157,,,4f_matched_interactions,2.5
Gardner_press_conferences_zscore__4g_novelty_ev2.5,117,0.9702,0.9671,158.29,191.44,491.5961,0.0,0.560959,,,4g_novelty,2.5
Gardner_press_conferences_zscore__4a_total_sent_ev3.0,118,0.9723,0.9708,140.69,160.09,859.9565,0.0,0.568475,,,4a_total_sent,3.0
Gardner_press_conferences_zscore__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,3.0
Gardner_press_conferences_zscore__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,3.0
Gardner_press_conferences_zscore__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,3.0
Gardner_press_conferences_zscore__4b_consensus_ev3.0,118,0.9781,0.9761,120.81,151.29,867.6097,0.0,0.332567,,,4b_consensus,3.0
Gardner_press_conferences_zscore__4b_consensus_matched_interactions_ev3.0,118,0.9792,0.9773,114.6,145.08,960.7234,0.0,0.254274,,,4b_consensus_matched_interactions,3.0
Gardner_press_conferences_zscore__4c_all_topics_ev3.0,118,0.9808,0.979,105.22,135.69,890.1572,0.0,0.523231,,,4c_all_topics,3.0
Gardner_press_conferences_zscore__4d_topic_pca_ev3.0,118,0.9787,0.9769,115.77,143.48,864.2032,0.0,0.610655,,,4d,3.0
Gardner_press_conferences_zscore__4e_total_interactions_ev3.0,118,0.9887,0.9875,44.62,77.87,1205.0617,0.0,0.285837,,,4e_total_interactions,3.0
Gardner_press_conferences_zscore__4f_matched_interactions_ev3.0,118,0.9832,0.9817,89.32,119.8,860.223,0.0,0.245157,,,4f_matched_interactions,3.0
Gardner_press_conferences_zscore__4g_novelty_ev3.0,117,0.9702,0.9671,158.29,191.44,491.5961,0.0,0.560959,,,4g_novelty,3.0
