model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_80,cw_tstat,cw_pval,spec,extreme_val
Gardner_minutes_zscore__4b_consensus_matched_interactions_ev2.5,151,0.9736,0.9717,170.76,203.95,734.7625,0.0,0.489846,1.5334,0.0626,4b_consensus_matched_interactions,2.5
Gardner_minutes_zscore__4c_all_topics_ev2.5,151,0.9726,0.9706,176.42,209.61,900.0586,0.0,0.462904,2.367,0.009,4c_all_topics,2.5
Gardner_minutes_zscore__4d_topic_pca_ev2.5,151,0.9708,0.9689,184.07,214.25,772.6376,0.0,0.50102,1.354,0.0879,4d,2.5
Gardner_minutes_zscore__4e_total_interactions_ev2.5,151,0.9808,0.9792,125.01,161.22,995.1786,0.0,0.343174,3.0186,0.0013,4e_total_interactions,2.5
Gardner_minutes_zscore__4f_matched_interactions_ev2.5,151,0.976,0.9743,156.41,189.6,1073.8471,0.0,0.44496,3.2412,0.0006,4f_matched_interactions,2.5
Gardner_minutes_zscore__4g_novelty_ev2.5,150,0.968,0.9655,198.37,234.49,587.3558,0.0,0.54253,1.8279,,4g_novelty,2.5
Gardner_minutes_zscore__4a_total_sent_ev3.0,151,0.969,0.9677,187.1,208.22,967.0096,0.0,0.509165,1.613,0.0534,4a_total_sent,3.0
Gardner_minutes_zscore__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_sd,3.0
Gardner_minutes_zscore__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sent_var,3.0
Gardner_minutes_zscore__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,0.534327,,,4b_sd_var_joint,3.0
Gardner_minutes_zscore__4b_consensus_ev3.0,151,0.979,0.9775,135.89,169.08,739.5633,0.0,0.382303,2.608,0.0046,4b_consensus,3.0
Gardner_minutes_zscore__4b_consensus_matched_interactions_ev3.0,151,0.9736,0.9717,170.76,203.95,734.7625,0.0,0.489846,1.5334,0.0626,4b_consensus_matched_interactions,3.0
Gardner_minutes_zscore__4c_all_topics_ev3.0,151,0.9726,0.9706,176.42,209.61,900.0586,0.0,0.462904,2.367,0.009,4c_all_topics,3.0
Gardner_minutes_zscore__4d_topic_pca_ev3.0,151,0.9708,0.9689,184.07,214.25,772.6376,0.0,0.50102,1.354,0.0879,4d,3.0
Gardner_minutes_zscore__4e_total_interactions_ev3.0,151,0.9808,0.9792,125.01,161.22,995.1786,0.0,0.343174,3.0186,0.0013,4e_total_interactions,3.0
Gardner_minutes_zscore__4f_matched_interactions_ev3.0,151,0.976,0.9743,156.41,189.6,1073.8471,0.0,0.44496,3.2412,0.0006,4f_matched_interactions,3.0
Gardner_minutes_zscore__4g_novelty_ev3.0,150,0.968,0.9655,198.37,234.49,587.3558,0.0,0.54253,1.8279,,4g_novelty,3.0
