model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_60,oos_rmse_70,oos_rmse_80,oos_rmse_90
Gardner_statements_wordcount__4b_consensus_ev3.0,151,0.9743,0.9725,166.68,199.87,756.0294,0.0,,,0.540899,
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev3.0,151,0.9702,0.9681,189.07,222.26,677.1382,0.0,,,0.583255,
Gardner_statements_wordcount__4c_all_topics_ev3.0,151,0.9704,0.9683,188.08,221.27,640.2223,0.0,,,0.514167,
Gardner_statements_wordcount__4d_topic_pca_ev3.0,151,0.9724,0.9704,177.51,210.7,779.74,0.0,,,0.486303,
Gardner_statements_wordcount__4e_total_interactions_ev3.0,151,0.9765,0.9747,154.97,191.17,699.5673,0.0,,,0.506881,
Gardner_statements_wordcount__4f_matched_interactions_ev3.0,151,0.9741,0.9722,168.01,201.2,800.107,0.0,,,0.431005,
Gardner_statements_wordcount__4g_novelty_ev3.0,150,0.968,0.9657,196.42,229.54,631.2468,0.0,,,0.530258,
Gardner_statements_zscore__4a_total_sent_ev1.0,151,0.9686,0.9673,188.67,209.8,1050.8804,0.0,,,0.520601,
Gardner_statements_zscore__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_consensus_ev1.0,151,0.9724,0.9704,177.44,210.63,666.555,0.0,,,0.530215,
Gardner_statements_zscore__4b_consensus_matched_interactions_ev1.0,151,0.971,0.9689,185.14,218.33,676.9822,0.0,,,0.612996,
Gardner_statements_zscore__4c_all_topics_ev1.0,151,0.9702,0.9681,188.81,222.0,707.1429,0.0,,,0.506623,
Gardner_statements_zscore__4d_topic_pca_ev1.0,151,0.9703,0.9682,188.3,221.49,728.9474,0.0,,,0.482092,
Gardner_statements_zscore__4e_total_interactions_ev1.0,151,0.9755,0.9736,161.15,197.36,702.0933,0.0,,,0.538896,
Gardner_statements_zscore__4f_matched_interactions_ev1.0,151,0.974,0.9722,168.12,201.32,772.6829,0.0,,,0.472814,
Gardner_statements_zscore__4g_novelty_ev1.0,150,0.9687,0.9662,195.28,231.41,597.8972,0.0,,,0.509783,
Gardner_statements_zscore__4a_total_sent_ev1.5,151,0.9686,0.9673,188.67,209.8,1050.8804,0.0,,,0.520601,
Gardner_statements_zscore__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_consensus_ev1.5,151,0.9724,0.9704,177.44,210.63,666.555,0.0,,,0.530215,
Gardner_statements_zscore__4b_consensus_matched_interactions_ev1.5,151,0.971,0.9689,185.14,218.33,676.9822,0.0,,,0.612996,
Gardner_statements_zscore__4c_all_topics_ev1.5,151,0.9702,0.9681,188.81,222.0,707.1429,0.0,,,0.506623,
Gardner_statements_zscore__4d_topic_pca_ev1.5,151,0.9703,0.9682,188.3,221.49,728.9474,0.0,,,0.482092,
Gardner_statements_zscore__4e_total_interactions_ev1.5,151,0.9755,0.9736,161.15,197.36,702.0933,0.0,,,0.538896,
Gardner_statements_zscore__4f_matched_interactions_ev1.5,151,0.974,0.9722,168.12,201.32,772.6829,0.0,,,0.472814,
Gardner_statements_zscore__4g_novelty_ev1.5,150,0.9687,0.9662,195.28,231.41,597.8972,0.0,,,0.509783,
Gardner_statements_zscore__4a_total_sent_ev2.0,151,0.9686,0.9673,188.67,209.8,1050.8804,0.0,,,0.520601,
Gardner_statements_zscore__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_consensus_ev2.0,151,0.9724,0.9704,177.44,210.63,666.555,0.0,,,0.530215,
Gardner_statements_zscore__4b_consensus_matched_interactions_ev2.0,151,0.971,0.9689,185.14,218.33,676.9822,0.0,,,0.612996,
Gardner_statements_zscore__4c_all_topics_ev2.0,151,0.9702,0.9681,188.81,222.0,707.1429,0.0,,,0.506623,
Gardner_statements_zscore__4d_topic_pca_ev2.0,151,0.9703,0.9682,188.3,221.49,728.9474,0.0,,,0.482092,
Gardner_statements_zscore__4e_total_interactions_ev2.0,151,0.9755,0.9736,161.15,197.36,702.0933,0.0,,,0.538896,
Gardner_statements_zscore__4f_matched_interactions_ev2.0,151,0.974,0.9722,168.12,201.32,772.6829,0.0,,,0.472814,
Gardner_statements_zscore__4g_novelty_ev2.0,150,0.9687,0.9662,195.28,231.41,597.8972,0.0,,,0.509783,
Gardner_statements_zscore__4a_total_sent_ev2.5,151,0.9686,0.9673,188.67,209.8,1050.8804,0.0,,,0.520601,
Gardner_statements_zscore__4b_sent_sd_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sent_var_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sd_var_joint_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_consensus_ev2.5,151,0.9724,0.9704,177.44,210.63,666.555,0.0,,,0.530215,
Gardner_statements_zscore__4b_consensus_matched_interactions_ev2.5,151,0.971,0.9689,185.14,218.33,676.9822,0.0,,,0.612996,
Gardner_statements_zscore__4c_all_topics_ev2.5,151,0.9702,0.9681,188.81,222.0,707.1429,0.0,,,0.506623,
Gardner_statements_zscore__4d_topic_pca_ev2.5,151,0.9703,0.9682,188.3,221.49,728.9474,0.0,,,0.482092,
Gardner_statements_zscore__4e_total_interactions_ev2.5,151,0.9755,0.9736,161.15,197.36,702.0933,0.0,,,0.538896,
Gardner_statements_zscore__4f_matched_interactions_ev2.5,151,0.974,0.9722,168.12,201.32,772.6829,0.0,,,0.472814,
Gardner_statements_zscore__4g_novelty_ev2.5,150,0.9687,0.9662,195.28,231.41,597.8972,0.0,,,0.509783,
Gardner_statements_zscore__4a_total_sent_ev3.0,151,0.9686,0.9673,188.67,209.8,1050.8804,0.0,,,0.520601,
Gardner_statements_zscore__4b_sent_sd_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sent_var_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_consensus_ev3.0,151,0.9724,0.9704,177.44,210.63,666.555,0.0,,,0.530215,
Gardner_statements_zscore__4b_consensus_matched_interactions_ev3.0,151,0.971,0.9689,185.14,218.33,676.9822,0.0,,,0.612996,
Gardner_statements_zscore__4c_all_topics_ev3.0,151,0.9702,0.9681,188.81,222.0,707.1429,0.0,,,0.506623,
Gardner_statements_zscore__4d_topic_pca_ev3.0,151,0.9703,0.9682,188.3,221.49,728.9474,0.0,,,0.482092,
Gardner_statements_zscore__4e_total_interactions_ev3.0,151,0.9755,0.9736,161.15,197.36,702.0933,0.0,,,0.538896,
Gardner_statements_zscore__4f_matched_interactions_ev3.0,151,0.974,0.9722,168.12,201.32,772.6829,0.0,,,0.472814,
Gardner_statements_zscore__4g_novelty_ev3.0,150,0.9687,0.9662,195.28,231.41,597.8972,0.0,,,0.509783,
Gardner_minutes_wordcount__4a_total_sent_ev1.0,151,0.9681,0.9668,191.32,212.44,1004.4464,0.0,,,0.534242,
Gardner_minutes_wordcount__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
