model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_60,oos_rmse_70,oos_rmse_80,oos_rmse_90
Gardner_statements_wordcount__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_wordcount__4b_consensus_ev3.0,151,0.9815,0.9802,116.99,150.18,1149.5364,0.0,,,0.478675,
Gardner_statements_wordcount__4b_consensus_matched_interactions_ev3.0,151,0.9772,0.9756,148.54,181.73,846.4772,0.0,,,0.450485,
Gardner_statements_wordcount__4c_all_topics_ev3.0,151,0.9751,0.9734,161.6,194.79,772.7091,0.0,,,0.574777,
Gardner_statements_wordcount__4d_topic_pca_ev3.0,151,0.9813,0.9801,117.02,147.19,1336.6784,0.0,,,0.354165,
Gardner_statements_wordcount__4e_total_interactions_ev3.0,151,0.9777,0.9759,147.43,183.64,919.8283,0.0,,,0.363683,
Gardner_statements_wordcount__4f_matched_interactions_ev3.0,151,0.9736,0.9717,170.75,203.94,872.3899,0.0,,,0.468177,
Gardner_statements_wordcount__4g_novelty_ev3.0,150,0.9684,0.9662,194.41,227.53,672.2831,0.0,,,0.535155,
Gardner_statements_zscore__4a_total_sent_ev1.0,151,0.9695,0.9682,184.61,205.73,1353.2943,0.0,,,0.529274,
Gardner_statements_zscore__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_consensus_ev1.0,151,0.9783,0.9768,141.02,174.21,844.4863,0.0,,,0.602379,
Gardner_statements_zscore__4b_consensus_matched_interactions_ev1.0,151,0.9775,0.9759,146.55,179.74,928.9633,0.0,,,0.54295,
Gardner_statements_zscore__4c_all_topics_ev1.0,151,0.9729,0.9709,174.85,208.04,873.7658,0.0,,,0.586477,
Gardner_statements_zscore__4d_topic_pca_ev1.0,151,0.9734,0.9717,169.73,199.9,1089.806,0.0,,,0.485971,
Gardner_statements_zscore__4e_total_interactions_ev1.0,151,0.9811,0.9797,121.88,158.09,1163.8417,0.0,,,0.352638,
Gardner_statements_zscore__4f_matched_interactions_ev1.0,151,0.9778,0.9762,144.82,178.01,1002.8143,0.0,,,0.420024,
Gardner_statements_zscore__4g_novelty_ev1.0,150,0.9696,0.9672,190.66,226.79,653.7907,0.0,,,0.479848,
Gardner_statements_zscore__4a_total_sent_ev1.5,151,0.9695,0.9682,184.61,205.73,1353.2943,0.0,,,0.529274,
Gardner_statements_zscore__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_consensus_ev1.5,151,0.9783,0.9768,141.02,174.21,844.4863,0.0,,,0.602379,
Gardner_statements_zscore__4b_consensus_matched_interactions_ev1.5,151,0.9775,0.9759,146.55,179.74,928.9633,0.0,,,0.54295,
Gardner_statements_zscore__4c_all_topics_ev1.5,151,0.9729,0.9709,174.85,208.04,873.7658,0.0,,,0.586477,
Gardner_statements_zscore__4d_topic_pca_ev1.5,151,0.9734,0.9717,169.73,199.9,1089.806,0.0,,,0.485971,
Gardner_statements_zscore__4e_total_interactions_ev1.5,151,0.9811,0.9797,121.88,158.09,1163.8417,0.0,,,0.352638,
Gardner_statements_zscore__4f_matched_interactions_ev1.5,151,0.9778,0.9762,144.82,178.01,1002.8143,0.0,,,0.420024,
Gardner_statements_zscore__4g_novelty_ev1.5,150,0.9696,0.9672,190.66,226.79,653.7907,0.0,,,0.479848,
Gardner_statements_zscore__4a_total_sent_ev2.0,151,0.9695,0.9682,184.61,205.73,1353.2943,0.0,,,0.529274,
Gardner_statements_zscore__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sent_var_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sd_var_joint_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_consensus_ev2.0,151,0.9783,0.9768,141.02,174.21,844.4863,0.0,,,0.602379,
Gardner_statements_zscore__4b_consensus_matched_interactions_ev2.0,151,0.9775,0.9759,146.55,179.74,928.9633,0.0,,,0.54295,
Gardner_statements_zscore__4c_all_topics_ev2.0,151,0.9729,0.9709,174.85,208.04,873.7658,0.0,,,0.586477,
Gardner_statements_zscore__4d_topic_pca_ev2.0,151,0.9734,0.9717,169.73,199.9,1089.806,0.0,,,0.485971,
Gardner_statements_zscore__4e_total_interactions_ev2.0,151,0.9811,0.9797,121.88,158.09,1163.8417,0.0,,,0.352638,
Gardner_statements_zscore__4f_matched_interactions_ev2.0,151,0.9778,0.9762,144.82,178.01,1002.8143,0.0,,,0.420024,
Gardner_statements_zscore__4g_novelty_ev2.0,150,0.9696,0.9672,190.66,226.79,653.7907,0.0,,,0.479848,
Gardner_statements_zscore__4a_total_sent_ev2.5,151,0.9695,0.9682,184.61,205.73,1353.2943,0.0,,,0.529274,
Gardner_statements_zscore__4b_sent_sd_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sent_var_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_sd_var_joint_ev2.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_statements_zscore__4b_consensus_ev2.5,151,0.9783,0.9768,141.02,174.21,844.4863,0.0,,,0.602379,
Gardner_statements_zscore__4b_consensus_matched_interactions_ev2.5,151,0.9775,0.9759,146.55,179.74,928.9633,0.0,,,0.54295,
Gardner_statements_zscore__4c_all_topics_ev2.5,151,0.9729,0.9709,174.85,208.04,873.7658,0.0,,,0.586477,
Gardner_statements_zscore__4d_topic_pca_ev2.5,151,0.9734,0.9717,169.73,199.9,1089.806,0.0,,,0.485971,
Gardner_statements_zscore__4e_total_interactions_ev2.5,151,0.9811,0.9797,121.88,158.09,1163.8417,0.0,,,0.352638,
Gardner_statements_zscore__4f_matched_interactions_ev2.5,151,0.9778,0.9762,144.82,178.01,1002.8143,0.0,,,0.420024,
Gardner_statements_zscore__4g_novelty_ev2.5,150,0.9696,0.9672,190.66,226.79,653.7907,0.0,,,0.479848,
Gardner_statements_zscore__4a_total_sent_ev3.0,151,0.9695,0.9682,184.61,205.73,1353.2943,0.0,,,0.529274,
