date,meeting_date,doc_type,speaker_types,gardner_inf,gardner_labor,gardner_out,gardner_fin,gardner_mp,gardner_total,gardner_inf_consensus,gardner_labor_consensus,gardner_out_consensus,gardner_fin_consensus,gardner_mp_consensus
1999-02-03,1999-02-03,speech,{'unknown'},8.570541896456992e-07,4.732985823416548e-07,1.7567478912140702e-06,-4.050753632653803e-07,4.26395119226716e-09,2.6862892511283116e-06,6.87297136001034e-07,1.0537025384254226e-06,7.896196024430892e-07,2.2106499480718326e-06,2.6295099382328115e-06
1999-03-30,1999-03-30,speech,{'unknown'},1.0800892596249097e-06,1.542984656607014e-07,8.177818680017173e-06,-9.257907939642085e-07,0.0,8.486415611338577e-06,8.755439316675486e-06,5.753574408101033e-06,1.0813455447849458e-05,2.8767872040505163e-05,0.0
1999-05-18,1999-05-18,statements,,0.0005389327541530857,0.0005389327541530857,0.001616798262459257,-0.0005389327541530857,0.0,0.0021557310166123427,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.0
1999-05-18,1999-05-18,speech,{'unknown'},1.5845450601034522e-06,5.942043975387945e-06,8.91306596308192e-06,-1.9806813251293152e-07,0.0,1.6241586866060386e-05,3.315017859658719e-06,2.4270666472501336e-05,9.616679168349585e-06,3.397893306150187e-05,0.0
1999-06-30,1999-06-30,statements,,0.0,0.0004941058844013092,0.0009882117688026185,-0.0004941058844013092,0.0,0.0009882117688026185,0.0,0.00625,0.00625,0.00625,0.0
1999-06-30,1999-06-30,speech,{'unknown'},6.153178144204525e-06,2.051059381401508e-06,6.153178144204525e-06,-2.3440678644588666e-06,2.930084830573583e-07,1.2306356288409048e-05,2.259551446758512e-05,3.431170715448111e-05,9.550681372896803e-06,4.411505205576143e-05,4.411505205576143e-05
1999-08-24,1999-08-24,statements,,0.0003150063969628573,0.0003150063969628573,0.0009450191908885718,-0.0006300127939257146,0.0,0.0009450191908885718,0.004629629629629629,0.004629629629629629,0.004629629629629629,0.004629629629629629,0.0
1999-08-24,1999-08-24,speech,{'unknown'},0.0,0.0,1.3921668373157588e-05,0.0,0.0,1.3921668373157588e-05,0.0,0.0,0.00012152144853566654,0.0,0.0
1999-10-05,1999-10-05,statements,,0.0004472041595917383,0.0,0.0004472041595917383,0.0,0.0,0.0008944083191834766,0.005847953216374269,0.0,0.005847953216374269,0.0,0.0
1999-10-05,1999-10-05,speech,{'unknown'},2.544033537670241e-06,4.542917031554002e-06,8.540684019321524e-06,-2.9074669001945613e-06,0.0,1.2720167688351206e-05,8.317589324968215e-06,1.9562274544785872e-05,1.1337294149714999e-05,3.208213025344883e-05,0.0
1999-11-16,1999-11-16,statements,,0.0,0.0,-0.0002639918926335737,0.0,0.0,-0.0002639918926335737,0.0,0.0,0.00411522633744856,0.0,0.0
1999-11-16,1999-11-16,speech,{'unknown'},-1.3398418612011515e-06,5.742179405147792e-07,6.507803325834165e-06,-1.9140598017159307e-06,0.0,3.828119603431862e-06,2.3967899449868226e-06,9.057998363521628e-06,8.065931876088308e-06,3.3212660666245974e-05,0.0
1999-12-21,1999-12-21,statements,,0.0,0.0,0.0005336230958248768,0.0,0.0,0.0005336230958248768,0.0,0.0,0.006578947368421052,0.0,0.0
1999-12-21,1999-12-21,speech,{'unknown'},2.3704865642829406e-05,1.1378335508558116e-05,9.481946257131763e-06,0.0,0.0,4.456514740851929e-05,4.7311657024550964e-05,8.272781171150054e-05,1.787329265371925e-05,0.0,0.0
2000-02-02,2000-02-02,statements,,0.000757669743761698,0.0,0.0,0.0,0.0,0.000757669743761698,0.005235602094240838,0.0,0.0,0.0,0.0
2000-02-02,2000-02-02,speech,{'unknown'},3.9680896445714934e-06,4.960112055714368e-06,-6.448145672428678e-06,-4.960112055714367e-07,0.0,1.9840448222857467e-06,1.392457060105409e-05,3.481142650263523e-05,5.0595489451035045e-06,6.26605677047434e-05,0.0
2000-03-21,2000-03-21,speech,{'unknown'},4.179658737753835e-06,-7.599379523188792e-07,-1.7098603927174782e-06,-7.599379523188792e-07,1.899844880797198e-07,1.1399069284783185e-06,2.13840121461189e-05,6.609603754254932e-06,2.2363320973043003e-06,3.304801877127466e-05,3.304801877127466e-05
2000-03-21,2000-03-21,statements,,0.0007233203044457832,0.0,0.0007233203044457832,0.0,0.0,0.0014466406088915664,0.005076142131979695,0.0,0.0025380710659898475,0.0,0.0
2000-05-16,2000-05-16,speech,{'unknown'},3.2347361534370426e-06,2.8303941342574126e-06,1.9004074901442626e-05,-2.0217100958981516e-07,0.0,2.4867034179547265e-05,7.2333253766754186e-06,9.493739556886487e-06,1.0407131409298306e-05,2.1699976130026256e-05,0.0
